story_id,title,description,story_points,business_value,risk_score,required_skill,sprint_id,sprint_completed,depends_on,status
XD-3721,"""XD Admin UI log out does not function properly""","""""""I am using XD 1.2.1.RELEASE. I have following environment variables   XD_CONFIG_NAME = mycompany And  SPRING_PROFILE_ACTIVE= prod, admin  i have XD configuration file (mycompany-prod.yml) with following security configuration  # Config to enable security on administration endpoints (consider adding ssl) spring:   profiles: prod security:   basic:     enabled: true # false to disable security settings (default)     realm: SpringXD xd:   security:     authentication:       file:         enabled: true          users:           xdadmin: pwd, ROLE_ADMIN,ROLE_VIEW,ROLE_CREATE  I get a login screen, login works alright. When i logout - i still see all the tabs and contents in all the tabs. See the attached screenshot. """"""",1,7.23,0.66,Frontend,2,1,,done
XD-3720,"""Custom job with RabbitMq dependencies ""","""""""Hi,  I've develop a custom Job which have to publish message on RabbitMq when it's finished.  To develop this module, I'veto include this libraries: * com.rabbitmq:amqp-client:jar * org.springframework.amqp:spring-rabbit:jar * org.springframework.amqp:spring-amqp:jar  My job use this writer: org.springframework.batch.item.amqp.AmqpItemWriter  I've this error log:   This is typically due to a library loaded several times.  What is the solution to resolve this?  I'd like to use the same libraries has RabbitMq Source/Sink or the transport bus.  Does module classloader isolated from others?  Thanks  Mickaël""""""",2,6.30,0.48,Backend,BACKLOG-XD-2015,0,,backlog
XD-3719,"""Spring flo issue with unexpected char""","""""""In Flo when creating a stream if you use asterisk you get an error. See the image attached.""""""",2,6.68,0.67,Frontend,2,1,,done
XD-3718,"""Kafka message bus must accept partitioning properties for named queues""","""""""As a user, I want to be able to provide the partitioning logic for a named destination, so that I can control the ordering of outbound messages.""""""",1,5.55,0.44,Backend,BACKLOG-XD-2015,1,,done
XD-3717,"""Improvement to SpringXDTemplate to enable getting executions for a specific job""","""""""I would like to be able to use the SpringXDTemplate to find all executions for a specific job  Currently I use xdTemplate.jobOperations().listJobExecutions() then loop through all executions filtering the ones for the job I'm interested in.  It would be nice if JobOperations had something like this  """"""",5,4.70,0.24,Backend,BACKLOG-XD-2015,0,,backlog
XD-3716,"""Support Configuring the RabbitMessageBus MessagePropertiesConverter LongString Limit""","""""""http://stackoverflow.com/questions/34053997/passing-headerinformation-as-jsonobject-in-header-in-spring-xd""""""",2,5.55,0.40,Backend,2,1,,done
XD-3715,"""Move k8s SPI to a separate repo""","""""""As a developer, I'd like to move k8s SPI to it's own repo.""""""",5,5.60,0.48,DevOps,4,1,,done
XD-3714,"""Upgrade XD Ambari release to 1.3 ""","""""""As a developer, I'd like to upgrade Spring XD's ambari plugin to 1.3 release.""""""",3,5.80,0.37,DevOps,4,1,,done
XD-3713,"""The batch-hashtag-count example from spring-xd-samples is giving java.lang.ClassNotFoundException Exception""","""""""***Version  Spring XD Version : spring-xd-1.3.0.RELEASE, spring-xd-1.3.0.RELEASE-yarn  OS & Version: Linux 2.6.32-431.29.2.el6.x86_64   Java Version: java version """"""""1.7.0_65""""""""  ***Description  The batch-hashtag-count example from spring-xd-samples ran using spring xd is failing with inline error message.  ***Steps to recreate the problem  1. Followed steps present in README.asciidoc present at the Git repository link given below    https://github.com/spring-projects/spring-xd-samples/tree/master/batch-hashtag-count       ***Describe XD Deployment : Distributed   Deployment Type : Distributed - YARN ( on AWS EC2 cloud ) Number of xd-admin’s and xd-container’s  : 1 Admin and 3 Containers    ***Describe Other Components  Transport: Redis 3.0.1 ZooKeeper: Version 3.4.6.2.3.2.0-2950   Hadoop deployment Data Platform : Hortonworks HDP 2.3.2.0-2950 RDBMS: MySQL    ***Error Message:   ***************************************************** 2015-11-23 17:56:16,527 WARN [main] org.apache.hadoop.mapred.YarnChild: Exception running child : java.lang.RuntimeException: java.lang.ClassNotFoundException: Class or g.springframework.xd.examples.hadoop.HashtagCount$TokenizerMapper not found         at org.apache.hadoop.conf.Configuration.getClass(Configuration.java:2195)         at org.apache.hadoop.mapreduce.task.JobContextImpl.getMapperClass(JobContextImpl.java:186)         at org.apache.hadoop.mapred.MapTask.runNewMapper(MapTask.java:745)         at org.apache.hadoop.mapred.MapTask.run(MapTask.java:341)         at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:164)         at java.security.AccessController.doPrivileged(Native Method)         at javax.security.auth.Subject.doAs(Subject.java:422)         at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1657)         at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:158) Caused by: java.lang.ClassNotFoundException: Class org.springframework.xd.examples.hadoop.HashtagCount$Tokenize",5,6.53,0.65,Backend,BACKLOG-XD-2015,0,,backlog
XD-3712,"""spring xd  supported active/standby mode?""","""""""XD spring deployment capabilities are supported by the active/standby?  example: module.log.criteria=groups.contains('group1')  Above example is random selection? """"""",1,4.63,0.36,DevOps,BACKLOG-XD-2015,0,,backlog
XD-3711,"""XD  / Zookeeper connection lost.""","""""""XD container loose connection with Zookeeper.  I'm in a distributed environnement: - 3 XD container nodes (1.2.1) - 1 XD admin - 3 Zookeeper - 3 RabbitMQ - 3 Redis/Sentinel  Logs:  *zookeeper.log*   *container.log*   *admin.log*   If a module is deployed on the node which has lost the connection, it's not redeployed on one of the two others.  The only difference between node, is that the node in error has less memory.  When this occurs, node doesn't appear anymore on the admin ui. And deployed streams do not appear as incomplete, but they should if a node has disappear and deployment property _module.*.count_ is set to the number of nodes.  Thanks.  Mickaël""""""",5,7.73,0.62,Backend,BACKLOG-XD-2015,0,,backlog
XD-3710,"""Facing issue while running Spring XD batch job on HDP version 2.3.2.0-2950""","""""""***Version  Spring XD Version : spring-xd-1.3.0.RELEASE, spring-xd-1.3.0.RELEASE-yarn  OS & Version: Linux 2.6.32-431.29.2.el6.x86_64   Java Version: java version """"""""1.7.0_65""""""""  ***Description  The simple word count map reduce job using spring xd is failing with inline error message.  ***Steps to recreate the problem  1. Created a jar for simple word count map reduce job.  2. Created jar using information given in ( http://docs.spring.io/spring-hadoop/docs/2.0.2.RELEASE/reference/html/hadoop.html#hadoop:tasklet )  3. Once the final jar was ready, uploaded using """"""""module upload --name test_mr_module --type job --file /home/user/jar/samplemrjob.jar""""""""  4. After that created and deployed job using """"""""job create --name test_mr_job --definition test_mr_module --deploy""""""""  5. Finally launched using """"""""job launch test_mr_job"""""""" which failed with inline error.  ***Describe XD Deployment : Distributed   Deployment Type : Distributed - YARN ( on AWS EC2 cloud ) Number of xd-admin’s and xd-container’s  : 1 Admin and 3 Containers    ***Describe Other Components  Transport: Redis 3.0.1 ZooKeeper: Version 3.4.6.2.3.2.0-2950   Hadoop deployment Data Platform : Hortonworks HDP 2.3.2.0-2950 RDBMS: MySQL    ***Error Message:   ***************************************************** 05:29:52,673   INFO DeploymentsPathChildrenCache-0 container.DeploymentListener - Deploying job 'test_mr_job' 05:29:53,655   INFO DeploymentsPathChildrenCache-0 container.DeploymentListener - Deploying module [ModuleDescriptor@6e5af900 moduleName = 'test_mr_module', moduleLabel = 'test_mr_module', group = 'test_mr_job', sourceChannelName = [null], sinkChannelName = [null], index = 0, type = job, parameters = map[[empty]], children = list[[empty]]] 05:30:24,351  ERROR inbound.job:test_mr_job-redis:queue-inbound-channel-adapter1 step.AbstractStep - Encountered an error executing step teststep in job test_mr_job java.lang.IllegalArgumentException: Unable to parse '/hdp/apps/${hdp.version}/mapreduce",8,6.53,0.65,Backend,BACKLOG-XD-2015,0,,backlog
XD-3709,"""Duplicate MBean Names With router Sink""","""""""For some reason, the Integration {{MBeanExporterHelper}} is not preventing the standard context {{MBeanExporter}} from exporting the {{AbstractMessageRouter}}. This should be suppressed (when an IMBE is present) because it's annotated {{@IntegrationManagedResource}}.  Causes {{InstanceAlreadyExistsException}}.  Workaround in the stack overflow answer.  http://stackoverflow.com/questions/33838502/error-deploying-more-than-one-stream-with-a-router-1-3-0  Could be an SI issue, but investigation needed. However, we should probably include the stream/job name in all MBeans for the stream (as is done for the integration exporter).""""""",1,5.30,0.56,Backend,4,1,,done
XD-3708,"""Document limitations with HSQL when using composed jobs""","""""""As a developer, I'd want to document the limitations of HSQL DB when using composed jobs. """"""",1,5.30,0.29,Database,5,1,,done
XD-3707,"""Job definitions request limits 20 results by default""","""""""As a user, I'm trying to get all job definitions, but the first 20 alone are returned.  Job samples:   Request: {{http://localhost:9393/jobs/definitions.json}} - returns top 20; the other experiments with page size of either 0 or -1 still brings the top 20.""""""",1,6.05,0.40,Backend,BACKLOG-XD-2015,0,,backlog
